epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,3962.99,0.84282,0.39771,1.0174,0.93255,0.8976,0.89384,0.70752,1.0227,0.38131,1.17467,0.000808828,0.000808828,0.000808828
80,4020.4,0.83001,0.38819,1.01957,0.89955,0.94287,0.92275,0.73473,1.015,0.37759,1.17543,0.000797826,0.000797826,0.000797826
81,4077.8,0.83069,0.38516,1.01407,0.90896,0.88746,0.91031,0.70881,1.00126,0.3727,1.16971,0.000786824,0.000786824,0.000786824
82,4134.63,0.84432,0.39899,1.01933,0.88868,0.93685,0.91209,0.70971,1.01072,0.37537,1.17214,0.000775822,0.000775822,0.000775822
83,4192.29,0.81938,0.37854,1.01019,0.90285,0.88399,0.91751,0.71677,1.01374,0.38541,1.17635,0.00076482,0.00076482,0.00076482
84,4250.9,0.8176,0.38003,1.01553,0.92777,0.8966,0.90795,0.71052,1.02681,0.38564,1.18955,0.000753817,0.000753817,0.000753817
85,4309.09,0.8053,0.37669,1.00407,0.9304,0.89302,0.89422,0.70521,1.01684,0.37176,1.1867,0.000742815,0.000742815,0.000742815
86,4367.37,0.80889,0.37705,1.00774,0.86239,0.89579,0.874,0.68128,1.02051,0.37681,1.18102,0.000731813,0.000731813,0.000731813
87,4426.33,0.82746,0.38095,1.0131,0.85991,0.8976,0.88329,0.7052,1.00264,0.36982,1.16669,0.000720811,0.000720811,0.000720811
88,4485.33,0.8171,0.38178,1.00697,0.82672,0.8976,0.90719,0.71553,1.00686,0.37115,1.17593,0.000709809,0.000709809,0.000709809
89,4543.66,0.80917,0.37717,0.99716,0.87718,0.8836,0.8988,0.7153,1.00848,0.36618,1.17521,0.000698806,0.000698806,0.000698806
90,4602.03,0.79767,0.37286,1.00075,0.93677,0.88914,0.90522,0.73157,1.00714,0.36776,1.18394,0.000687804,0.000687804,0.000687804
91,4660.1,0.79589,0.36867,0.99811,0.89839,0.89716,0.89686,0.70346,1.01521,0.37084,1.18493,0.000676802,0.000676802,0.000676802
92,4717.8,0.81243,0.38171,0.99698,0.92679,0.89628,0.90534,0.71737,1.0146,0.37486,1.18145,0.0006658,0.0006658,0.0006658
93,4775.42,0.80228,0.37473,1.0061,0.93264,0.89696,0.92384,0.71465,1.03005,0.37208,1.19321,0.000654798,0.000654798,0.000654798
94,4833.67,0.77673,0.35591,0.99208,0.90343,0.88755,0.89499,0.70718,1.02808,0.37767,1.19139,0.000643795,0.000643795,0.000643795
95,4893.47,0.78543,0.36385,1.00207,0.89682,0.89924,0.8969,0.71042,1.00801,0.36068,1.17743,0.000632793,0.000632793,0.000632793
96,4954.78,0.78318,0.36102,0.99407,0.89929,0.8879,0.91081,0.74288,1.00291,0.37057,1.16591,0.000621791,0.000621791,0.000621791
97,5013.48,0.78279,0.36374,0.98583,0.92846,0.89842,0.92325,0.75005,1.00577,0.36267,1.17658,0.000610789,0.000610789,0.000610789
98,5069.2,0.76561,0.36612,0.98853,0.89947,0.89784,0.93575,0.73809,1.00573,0.36636,1.18009,0.000599787,0.000599787,0.000599787
99,5125.16,0.78416,0.3659,0.99428,0.94153,0.88804,0.93,0.76614,1.00003,0.36635,1.18016,0.000588784,0.000588784,0.000588784
100,5182.03,0.79115,0.36751,0.99683,0.9416,0.89706,0.90661,0.72286,1.00485,0.36528,1.18129,0.000577782,0.000577782,0.000577782
101,5237.54,0.7655,0.35322,0.98368,0.94382,0.88736,0.92232,0.7594,1.00871,0.36101,1.18025,0.00056678,0.00056678,0.00056678
102,5291.75,0.77653,0.36059,0.98756,0.91227,0.89152,0.91433,0.74166,1.0011,0.36201,1.177,0.000555778,0.000555778,0.000555778
103,5345.53,0.75561,0.34807,0.98485,0.93295,0.88782,0.91034,0.73727,0.99784,0.36023,1.17405,0.000544776,0.000544776,0.000544776
104,5400.15,0.75909,0.35178,0.99009,0.89418,0.89161,0.9153,0.71481,1.00287,0.35808,1.17645,0.000533773,0.000533773,0.000533773
105,5454.22,0.75932,0.35104,0.98484,0.89922,0.89296,0.89904,0.73593,1.00389,0.36644,1.18181,0.000522771,0.000522771,0.000522771
106,5508.86,0.75031,0.35058,0.98246,0.92264,0.89196,0.89286,0.7161,1.00441,0.36549,1.18301,0.000511769,0.000511769,0.000511769
107,5564.03,0.76078,0.34611,0.98744,0.91689,0.89431,0.90024,0.72468,1.00542,0.3637,1.18026,0.000500767,0.000500767,0.000500767
108,5619.25,0.73171,0.34117,0.97516,0.90636,0.94232,0.92131,0.75213,1.00503,0.36105,1.19149,0.000489765,0.000489765,0.000489765
109,5674.33,0.74263,0.34951,0.98223,0.89614,0.89538,0.90942,0.71601,0.99909,0.35499,1.183,0.000478762,0.000478762,0.000478762
110,5730.29,0.73184,0.33844,0.97214,0.8997,0.89054,0.90887,0.72524,1.00128,0.35923,1.18856,0.00046776,0.00046776,0.00046776
111,5785.03,0.73048,0.34527,0.96957,0.89629,0.89686,0.90739,0.74496,0.9938,0.35729,1.1815,0.000456758,0.000456758,0.000456758
112,5840.32,0.72286,0.33538,0.95991,0.88987,0.89851,0.91248,0.74086,0.98845,0.35376,1.17602,0.000445756,0.000445756,0.000445756
113,5895.19,0.73377,0.33686,0.97073,0.89876,0.8976,0.92572,0.75061,0.98196,0.356,1.17443,0.000434754,0.000434754,0.000434754
114,5955.24,0.7333,0.33702,0.97023,0.89861,0.90006,0.92989,0.72847,0.99712,0.3545,1.17925,0.000423751,0.000423751,0.000423751
115,6009.33,0.7272,0.33355,0.96441,0.88834,0.89583,0.91486,0.74564,0.9923,0.35577,1.18036,0.000412749,0.000412749,0.000412749
116,6054.99,0.71418,0.32945,0.96325,0.89891,0.90006,0.89708,0.72722,0.98982,0.36167,1.18113,0.000401747,0.000401747,0.000401747
117,6105.82,0.71349,0.32958,0.96251,0.89997,0.90088,0.89665,0.71916,0.99633,0.36036,1.18374,0.000390745,0.000390745,0.000390745
118,6158.25,0.71574,0.3258,0.96521,0.90165,0.90159,0.89492,0.72574,1.00265,0.36414,1.1866,0.000379743,0.000379743,0.000379743
119,6204.09,0.70477,0.32727,0.96348,0.8991,0.9017,0.9124,0.74327,0.99663,0.35385,1.18176,0.00036874,0.00036874,0.00036874
120,6248.04,0.69277,0.31692,0.96081,0.90185,0.9017,0.93717,0.75249,0.98842,0.35622,1.18689,0.000357738,0.000357738,0.000357738
121,6292.43,0.71578,0.33161,0.96365,0.90035,0.90088,0.91588,0.72853,0.99313,0.36428,1.19146,0.000346736,0.000346736,0.000346736
122,6343.82,0.71781,0.32269,0.96143,0.89692,0.89943,0.92365,0.75953,0.98949,0.35999,1.18419,0.000335734,0.000335734,0.000335734
123,6395.51,0.69873,0.32261,0.96161,0.89669,0.90233,0.89355,0.72243,0.99455,0.36955,1.19263,0.000324732,0.000324732,0.000324732
124,6447.24,0.69869,0.3194,0.95355,0.9003,0.9017,0.91827,0.7498,0.98581,0.36132,1.19046,0.000313729,0.000313729,0.000313729
125,6495.21,0.695,0.32026,0.94828,0.8999,0.89957,0.91899,0.74228,0.9958,0.35804,1.1887,0.000302727,0.000302727,0.000302727
126,6539.08,0.69322,0.3199,0.95888,0.89858,0.90088,0.90769,0.74662,0.99168,0.36377,1.18675,0.000291725,0.000291725,0.000291725
127,6583.08,0.68337,0.31379,0.9547,0.90084,0.90006,0.92221,0.75018,0.98677,0.3532,1.18438,0.000280723,0.000280723,0.000280723
128,6627.03,0.67833,0.31227,0.9512,0.90004,0.89958,0.90737,0.73863,0.98971,0.36009,1.19348,0.000269721,0.000269721,0.000269721
129,6671.63,0.67624,0.31574,0.95062,0.89578,0.89821,0.92647,0.75953,0.98709,0.35521,1.18811,0.000258718,0.000258718,0.000258718
130,6715.56,0.69424,0.31149,0.95496,0.90095,0.89777,0.91959,0.74837,0.99137,0.35479,1.18638,0.000247716,0.000247716,0.000247716
131,6759.24,0.68855,0.31511,0.95534,0.86051,0.90088,0.89017,0.73195,0.98375,0.35749,1.18202,0.000236714,0.000236714,0.000236714
132,6803.63,0.67639,0.30807,0.95462,0.89906,0.89954,0.9014,0.75231,0.9896,0.35541,1.18569,0.000225712,0.000225712,0.000225712
133,6847.31,0.66947,0.30881,0.94359,0.89763,0.89842,0.90105,0.73902,0.98586,0.35683,1.1916,0.00021471,0.00021471,0.00021471
134,6891.46,0.66959,0.30829,0.94836,0.89693,0.90006,0.91683,0.75851,0.98554,0.35423,1.18751,0.000203707,0.000203707,0.000203707
135,6935.47,0.68396,0.31164,0.95233,0.89684,0.90006,0.90105,0.74865,0.98687,0.35928,1.19441,0.000192705,0.000192705,0.000192705
136,6979.39,0.67253,0.30701,0.94711,0.89957,0.90088,0.91307,0.74868,0.9847,0.3579,1.19395,0.000181703,0.000181703,0.000181703
137,7023.24,0.66562,0.30033,0.9426,0.89917,0.89929,0.89742,0.73606,0.98816,0.35927,1.19574,0.000170701,0.000170701,0.000170701
138,7067.03,0.66078,0.30064,0.94321,0.89954,0.89925,0.9022,0.74703,0.98306,0.35861,1.19329,0.000159699,0.000159699,0.000159699
139,7110.66,0.65275,0.30552,0.94043,0.89895,0.89969,0.91392,0.75988,0.98033,0.35442,1.1905,0.000148696,0.000148696,0.000148696
140,7154.94,0.6545,0.30412,0.93998,0.89401,0.89833,0.9092,0.75825,0.98399,0.36022,1.19288,0.000137694,0.000137694,0.000137694
141,7216.2,0.63461,0.26716,0.96078,0.89327,0.89895,0.89514,0.74254,0.98594,0.36119,1.18961,0.000126692,0.000126692,0.000126692
142,7259.98,0.61859,0.26265,0.95602,0.89541,0.89922,0.89517,0.74283,0.98173,0.35765,1.18875,0.00011569,0.00011569,0.00011569
143,7303.84,0.61278,0.25783,0.95136,0.88699,0.85707,0.87631,0.7285,0.98169,0.36149,1.18959,0.000104688,0.000104688,0.000104688
144,7347.53,0.61563,0.25942,0.95379,0.89372,0.89877,0.89145,0.73357,0.98138,0.35847,1.1894,9.36854e-05,9.36854e-05,9.36854e-05
145,7391.69,0.60666,0.25801,0.95684,0.89527,0.90162,0.90536,0.74898,0.98176,0.35763,1.19357,8.26832e-05,8.26832e-05,8.26832e-05
146,7435.1,0.60385,0.25561,0.9449,0.8947,0.89984,0.90737,0.76036,0.98165,0.35878,1.19602,7.1681e-05,7.1681e-05,7.1681e-05
147,7478.59,0.59886,0.25388,0.94558,0.89338,0.89928,0.90361,0.75632,0.98108,0.35948,1.19384,6.06788e-05,6.06788e-05,6.06788e-05
148,7522.69,0.59924,0.25083,0.94596,0.89342,0.89848,0.90136,0.75317,0.98186,0.36002,1.19363,4.96766e-05,4.96766e-05,4.96766e-05
149,7565.94,0.59634,0.25183,0.94296,0.89289,0.89799,0.89626,0.74855,0.98396,0.35949,1.19502,3.86744e-05,3.86744e-05,3.86744e-05
